macAddress,horario,cpuUso,cpuNucleosFisicos,cpuNucleosLogicos,cpuTempoUser,cpuTempoSistema,cpuTempoInativo,ramUsoBruto,ramLivre,ramTotal,ramUso,discoUsoBruto,discoLivre,discoTotal,discoUso,totalProcessos
f4:28:9d:0e:7e:e4,2026-05-19 15:02:33,18.6,10,12,29012.640624999996,33840.375,801447.9374999999,6711975936,1547345920,8259321856,81.3,179717820416,309322293248,489040113664,36.7,278
f4:28:9d:0e:7e:e4,2026-05-19 15:03:39,16.8,10,12,29038.921874999996,33872.12500000012,802179.5468749999,6859546624,1399775232,8259321856,83.1,179717910528,309322203136,489040113664,36.7,279
